ID,NIS Dummy,Nama Inisial Siswa,Kelas,Jurusan,Username Dummy,Email Dummy,Password Dummy,Jenis Kelamin
SIS-017,0067400017,Siswa Inisial S-017,XII TBSM 1,TBSM,siswa017,siswa017@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-018,0067400018,Siswa Inisial S-018,XII TBSM 1,TBSM,siswa018,siswa018@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-019,0067400019,Siswa Inisial S-019,XII TBSM 1,TBSM,siswa019,siswa019@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-020,0067400020,Siswa Inisial S-020,XII TBSM 1,TBSM,siswa020,siswa020@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-021,0067400021,Siswa Inisial S-021,XII TBSM 1,TBSM,siswa021,siswa021@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-022,0067400022,Siswa Inisial S-022,XII TBSM 1,TBSM,siswa022,siswa022@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-023,0067400023,Siswa Inisial S-023,XII TBSM 1,TBSM,siswa023,siswa023@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-024,0067400024,Siswa Inisial S-024,XII TBSM 2,TBSM,siswa024,siswa024@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-025,0067400025,Siswa Inisial S-025,XII TBSM 2,TBSM,siswa025,siswa025@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-026,0067400026,Siswa Inisial S-026,XII TBSM 2,TBSM,siswa026,siswa026@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-027,0067400027,Siswa Inisial S-027,XII TBSM 2,TBSM,siswa027,siswa027@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-028,0067400028,Siswa Inisial S-028,XII TBSM 2,TBSM,siswa028,siswa028@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-029,0067400029,Siswa Inisial S-029,XII TBSM 2,TBSM,siswa029,siswa029@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-030,0067400030,Siswa Inisial S-030,XII TBSM 2,TBSM,siswa030,siswa030@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-031,0067400031,Siswa Inisial S-031,XII TBSM 2,TBSM,siswa031,siswa031@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-032,0067400032,Siswa Inisial S-032,XII TBSM 2,TBSM,siswa032,siswa032@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-033,0067400033,Siswa Inisial S-033,XII TBSM 2,TBSM,siswa033,siswa033@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-034,0067400034,Siswa Inisial S-034,XII TBSM 2,TBSM,siswa034,siswa034@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-035,0067400035,Siswa Inisial S-035,XII TBSM 2,TBSM,siswa035,siswa035@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-036,0067400036,Siswa Inisial S-036,XII TBSM 2,TBSM,siswa036,siswa036@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-037,0067400037,Siswa Inisial S-037,XII TBSM 2,TBSM,siswa037,siswa037@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-038,0067400038,Siswa Inisial S-038,XII TBSM 2,TBSM,siswa038,siswa038@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-039,0067400039,Siswa Inisial S-039,XII TBSM 2,TBSM,siswa039,siswa039@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-040,0067400040,Siswa Inisial S-040,XII TBSM 2,TBSM,siswa040,siswa040@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-041,0067400041,Siswa Inisial S-041,XII TBSM 2,TBSM,siswa041,siswa041@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-042,0067400042,Siswa Inisial S-042,XII TBSM 2,TBSM,siswa042,siswa042@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-043,0067400043,Siswa Inisial S-043,XII TBSM 2,TBSM,siswa043,siswa043@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-044,0067400044,Siswa Inisial S-044,XII TBSM 2,TBSM,siswa044,siswa044@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-045,0067400045,Siswa Inisial S-045,XII TBSM 2,TBSM,siswa045,siswa045@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-046,0067400046,Siswa Inisial S-046,XII TBSM 2,TBSM,siswa046,siswa046@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-047,0067400047,Siswa Inisial S-047,XII TKR,TKRO,siswa047,siswa047@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-048,0067400048,Siswa Inisial S-048,XII TKR,TKRO,siswa048,siswa048@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-049,0067400049,Siswa Inisial S-049,XII TKR,TKRO,siswa049,siswa049@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-050,0067400050,Siswa Inisial S-050,XII TKR,TKRO,siswa050,siswa050@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-051,0067400051,Siswa Inisial S-051,XII TKR,TKRO,siswa051,siswa051@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-052,0067400052,Siswa Inisial S-052,XII TKR,TKRO,siswa052,siswa052@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-053,0067400053,Siswa Inisial S-053,XII TKR,TKRO,siswa053,siswa053@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-054,0067400054,Siswa Inisial S-054,XII TKR,TKRO,siswa054,siswa054@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-055,0067400055,Siswa Inisial S-055,XII TKR,TKRO,siswa055,siswa055@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-056,0067400056,Siswa Inisial S-056,XII TKR,TKRO,siswa056,siswa056@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-057,0067400057,Siswa Inisial S-057,XII TKR,TKRO,siswa057,siswa057@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-058,0067400058,Siswa Inisial S-058,XII TKR,TKRO,siswa058,siswa058@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-059,0067400059,Siswa Inisial S-059,XII TKR,TKRO,siswa059,siswa059@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-060,0067400060,Siswa Inisial S-060,XII TKR,TKRO,siswa060,siswa060@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-061,0067400061,Siswa Inisial S-061,XII TKR,TKRO,siswa061,siswa061@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-062,0067400062,Siswa Inisial S-062,XII TKR,TKRO,siswa062,siswa062@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-063,0067400063,Siswa Inisial S-063,XII TKR,TKRO,siswa063,siswa063@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-064,0067400064,Siswa Inisial S-064,XII TKR,TKRO,siswa064,siswa064@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-065,0067400065,Siswa Inisial S-065,XII TKR,TKRO,siswa065,siswa065@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-066,0067400066,Siswa Inisial S-066,XII TKR,TKRO,siswa066,siswa066@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-067,0067400067,Siswa Inisial S-067,XII TKR,TKRO,siswa067,siswa067@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-068,0067400068,Siswa Inisial S-068,XII TKR,TKRO,siswa068,siswa068@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-069,0067400069,Siswa Inisial S-069,XII TKR,TKRO,siswa069,siswa069@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-070,0067400070,Siswa Inisial S-070,XII TP,TP,siswa070,siswa070@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-071,0067400071,Siswa Inisial S-071,XII TP,TP,siswa071,siswa071@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-072,0067400072,Siswa Inisial S-072,XII TP,TP,siswa072,siswa072@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-073,0067400073,Siswa Inisial S-073,XII TP,TP,siswa073,siswa073@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-074,0067400074,Siswa Inisial S-074,XII TP,TP,siswa074,siswa074@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-075,0067400075,Siswa Inisial S-075,XII TP,TP,siswa075,siswa075@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-076,0067400076,Siswa Inisial S-076,XII TP,TP,siswa076,siswa076@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-077,0067400077,Siswa Inisial S-077,XII TP,TP,siswa077,siswa077@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-078,0067400078,Siswa Inisial S-078,XII TP,TP,siswa078,siswa078@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-079,0067400079,Siswa Inisial S-079,XII TP,TP,siswa079,siswa079@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-080,0067400080,Siswa Inisial S-080,XII TP,TP,siswa080,siswa080@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-081,0067400081,Siswa Inisial S-081,XII TP,TP,siswa081,siswa081@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-082,0067400082,Siswa Inisial S-082,XII TP,TP,siswa082,siswa082@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-083,0067400083,Siswa Inisial S-083,XII TP,TP,siswa083,siswa083@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-084,0067400084,Siswa Inisial S-084,XII TP,TP,siswa084,siswa084@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-085,0067400085,Siswa Inisial S-085,XII TP,TP,siswa085,siswa085@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-086,0067400086,Siswa Inisial S-086,XII TP,TP,siswa086,siswa086@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-087,0067400087,Siswa Inisial S-087,XII TP,TP,siswa087,siswa087@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-088,0067400088,Siswa Inisial S-088,XII TP,TP,siswa088,siswa088@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-089,0067400089,Siswa Inisial S-089,XII TP,TP,siswa089,siswa089@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-090,0067400090,Siswa Inisial S-090,XII TP,TP,siswa090,siswa090@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-091,0067400091,Siswa Inisial S-091,XII TP,TP,siswa091,siswa091@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-092,0067400092,Siswa Inisial S-092,XII TP,TP,siswa092,siswa092@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-093,0067400093,Siswa Inisial S-093,XII DPB,DPB,siswa093,siswa093@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-094,0067400094,Siswa Inisial S-094,XII DPB,DPB,siswa094,siswa094@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-095,0067400095,Siswa Inisial S-095,XII DPB,DPB,siswa095,siswa095@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-096,0067400096,Siswa Inisial S-096,XII DPB,DPB,siswa096,siswa096@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-097,0067400097,Siswa Inisial S-097,XII DPB,DPB,siswa097,siswa097@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-098,0067400098,Siswa Inisial S-098,XII DPB,DPB,siswa098,siswa098@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-099,0067400099,Siswa Inisial S-099,XII DPB,DPB,siswa099,siswa099@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-100,0067400100,Siswa Inisial S-100,XII DPB,DPB,siswa100,siswa100@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-101,0067400101,Siswa Inisial S-101,XII DPB,DPB,siswa101,siswa101@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-102,0067400102,Siswa Inisial S-102,XII DPB,DPB,siswa102,siswa102@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-103,0067400103,Siswa Inisial S-103,XII DPB,DPB,siswa103,siswa103@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-104,0067400104,Siswa Inisial S-104,XII DPB,DPB,siswa104,siswa104@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-105,0067400105,Siswa Inisial S-105,XII DPB,DPB,siswa105,siswa105@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-106,0067400106,Siswa Inisial S-106,XII DPB,DPB,siswa106,siswa106@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-107,0067400107,Siswa Inisial S-107,XII DPB,DPB,siswa107,siswa107@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-108,0067400108,Siswa Inisial S-108,XII DPB,DPB,siswa108,siswa108@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-109,0067400109,Siswa Inisial S-109,XII DPB,DPB,siswa109,siswa109@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-110,0067400110,Siswa Inisial S-110,XII DPB,DPB,siswa110,siswa110@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-111,0067400111,Siswa Inisial S-111,XII DPB,DPB,siswa111,siswa111@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-112,0067400112,Siswa Inisial S-112,XII DPB,DPB,siswa112,siswa112@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-113,0067400113,Siswa Inisial S-113,XII DPB,DPB,siswa113,siswa113@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-114,0067400114,Siswa Inisial S-114,XII DPB,DPB,siswa114,siswa114@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-115,0067400115,Siswa Inisial S-115,XII TKJ 1,TKJ,siswa115,siswa115@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-116,0067400116,Siswa Inisial S-116,XII TKJ 1,TKJ,siswa116,siswa116@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-117,0067400117,Siswa Inisial S-117,XII TKJ 1,TKJ,siswa117,siswa117@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-118,0067400118,Siswa Inisial S-118,XII TKJ 1,TKJ,siswa118,siswa118@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-119,0067400119,Siswa Inisial S-119,XII TKJ 1,TKJ,siswa119,siswa119@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-120,0067400120,Siswa Inisial S-120,XII TKJ 1,TKJ,siswa120,siswa120@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-121,0067400121,Siswa Inisial S-121,XII TKJ 1,TKJ,siswa121,siswa121@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-122,0067400122,Siswa Inisial S-122,XII TKJ 1,TKJ,siswa122,siswa122@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-123,0067400123,Siswa Inisial S-123,XII TKJ 1,TKJ,siswa123,siswa123@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-124,0067400124,Siswa Inisial S-124,XII TKJ 1,TKJ,siswa124,siswa124@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-125,0067400125,Siswa Inisial S-125,XII TKJ 1,TKJ,siswa125,siswa125@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-126,0067400126,Siswa Inisial S-126,XII TKJ 1,TKJ,siswa126,siswa126@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-127,0067400127,Siswa Inisial S-127,XII TKJ 1,TKJ,siswa127,siswa127@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-128,0067400128,Siswa Inisial S-128,XII TKJ 1,TKJ,siswa128,siswa128@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-129,0067400129,Siswa Inisial S-129,XII TKJ 1,TKJ,siswa129,siswa129@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-130,0067400130,Siswa Inisial S-130,XII TKJ 1,TKJ,siswa130,siswa130@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-131,0067400131,Siswa Inisial S-131,XII TKJ 1,TKJ,siswa131,siswa131@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-132,0067400132,Siswa Inisial S-132,XII TKJ 1,TKJ,siswa132,siswa132@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-133,0067400133,Siswa Inisial S-133,XII TKJ 1,TKJ,siswa133,siswa133@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-134,0067400134,Siswa Inisial S-134,XII TKJ 1,TKJ,siswa134,siswa134@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-135,0067400135,Siswa Inisial S-135,XII TKJ 1,TKJ,siswa135,siswa135@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-136,0067400136,Siswa Inisial S-136,XII TKJ 1,TKJ,siswa136,siswa136@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-137,0067400137,Siswa Inisial S-137,XII TKJ 1,TKJ,siswa137,siswa137@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-138,0067400138,Siswa Inisial S-138,XII TKJ 2,TKJ,siswa138,siswa138@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-139,0067400139,Siswa Inisial S-139,XII TKJ 2,TKJ,siswa139,siswa139@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-140,0067400140,Siswa Inisial S-140,XII TKJ 2,TKJ,siswa140,siswa140@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-141,0067400141,Siswa Inisial S-141,XII TKJ 2,TKJ,siswa141,siswa141@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-142,0067400142,Siswa Inisial S-142,XII TKJ 2,TKJ,siswa142,siswa142@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-143,0067400143,Siswa Inisial S-143,XII TKJ 2,TKJ,siswa143,siswa143@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-144,0067400144,Siswa Inisial S-144,XII TKJ 2,TKJ,siswa144,siswa144@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-145,0067400145,Siswa Inisial S-145,XII TKJ 2,TKJ,siswa145,siswa145@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-146,0067400146,Siswa Inisial S-146,XII TKJ 2,TKJ,siswa146,siswa146@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-147,0067400147,Siswa Inisial S-147,XII TKJ 2,TKJ,siswa147,siswa147@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-148,0067400148,Siswa Inisial S-148,XII TKJ 2,TKJ,siswa148,siswa148@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-149,0067400149,Siswa Inisial S-149,XII TKJ 2,TKJ,siswa149,siswa149@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-150,0067400150,Siswa Inisial S-150,XII TKJ 2,TKJ,siswa150,siswa150@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-151,0067400151,Siswa Inisial S-151,XII TKJ 2,TKJ,siswa151,siswa151@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-152,0067400152,Siswa Inisial S-152,XII TKJ 2,TKJ,siswa152,siswa152@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-153,0067400153,Siswa Inisial S-153,XII TKJ 2,TKJ,siswa153,siswa153@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-154,0067400154,Siswa Inisial S-154,XII TKJ 2,TKJ,siswa154,siswa154@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-155,0067400155,Siswa Inisial S-155,XII TKJ 2,TKJ,siswa155,siswa155@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-156,0067400156,Siswa Inisial S-156,XII TKJ 2,TKJ,siswa156,siswa156@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-157,0067400157,Siswa Inisial S-157,XII TKJ 2,TKJ,siswa157,siswa157@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-158,0067400158,Siswa Inisial S-158,XII TKJ 2,TKJ,siswa158,siswa158@smkn1bandardua.sch.id,siswapass123,Perempuan
SIS-159,0067400159,Siswa Inisial S-159,XII TKJ 2,TKJ,siswa159,siswa159@smkn1bandardua.sch.id,siswapass123,Laki-Laki
SIS-160,0067400160,Siswa Inisial S-160,XII TKJ 2,TKJ,siswa160,siswa160@smkn1bandardua.sch.id,siswapass123,Perempuan
